title	employer	location	language	required_experience	link
"Specialist-Software Engineer
- job post"	DIRECTV	Houston, TX 77001•Remote	python, 	at directv, we’re connecting the world through the latest tech, top-of-the-line communications and the best in entertainment. innovation powers all that we do, and our groundbreaking solutions deliver compelling communication and entertainment experiences to millions of customers worldwide. as part of our team, your next big idea could be our newest innovation. here’s your opportunity to combine your passions for entertainment, media and technology to transform our company and your career.do you have what it takes?you’re self-motivated and have a passion for learning cloud services and software engineering	https://www.indeed.com/applystart?jk=5c51d00ee55daa2b&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jehvkq6dn800&spon=1&adid=381514146&ad=-6NYlbfkN0Bg-vCOmr41z5O6cL3bVFLNCmt4d7jQ60EdHBZU4QjMGyRF3OJkwwC0GQxq9DZ5KcgzU_rq8zub-cXpnfRc4Xfi7FYIrvOBP_HwrHWJPywVYxYZMA5DuXNGMphlLB5HIgHzBHRNEkuoBBJYBxP5z0XJC1y2GFJ8cTjdbyapWD0bt2EQZELsR4qAzpTR7WPOSViMeKA-roa97it6vYcAi_UsqgixxN6PqlLp1e1UpMWGI1P7jRwfaD0VZkxPYstMpmObfYxLP5d90HdaX8nmvoQ5vLIlzJqgSE3742dGG92CMPXrGtzyZ2TZEmjz1BOZIHLkY5laYi5i-r6C_YWAi0aqp3ir4UWwf6uR_3mLTEqfom32UB72bvSHBGFc4fJbuu931VdLk0qvj6Y2jCJxH5HAqOux0R4zZhE%3D&sjdu=QWF4TUFyrHvH7u082A4fa0WJlojWYIc-mFxdfMBtT0Y&vjfrom=vjs&astse=86c9cc2780f56c79&assa=4738
"Software Engineer UI (Remote)
- job post"	HP	Spring, TX 77389•Remote	html, css, javascript, 	bonus if you have experience with aws technologies like cloud-front, s3, eks, kubernetes.bonus if you have worked in a team of 5+ size.you're great at coordinating with a variety of teams throughout the company	https://www.indeed.com/applystart?jk=3efbd53548bbdb34&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jehvkq6dn800&spon=1&adid=381520899&ad=-6NYlbfkN0C4JTuWysBZGWr3ScYyn1q3GP1Wt9Y6KOMkEf9pRAXJOXZ3CS3IjU_ieykkoIFdkricV5u_rYBkgi6UDHgXWUASGfZ8xDpdKvecem3kTj1F_HQOXBpv5vgdf89zW-qM5Bbe5URDnp9H_o3BqzCSGvjIKKEwL4aAGZirEqLSUtsB-XvvlCmj7mUq3cl5ocjx_IPYTBA4UvNh67eHQamJf9sauZILRN1hl7ieHjCxWPS5_zpFDL1iP6fP5pJVcjWbFabkNi02-ZTNW59arZrjucFSSeMqDHqq1Zd4RqzlQ66LLH4VgcULqRfyh9ANDWSfnksRv-Q1Z6fjt1ZHN4SObFRRlYW2I7Ji90GhW7N2xd-YXag8ElKNlOZ9UWgjTFWtu_IH_OFZR7JZA9gyKrxKdiTixOZCFKXJrK37O2Ql0kGM_MlMfkmVVk5nEGosP87LfzZvuCbCUKIkiSuBKxJx10Urph0a8PtersBdY1NXNynyB_JQ4i9gpSX0wB2dOXd5UdLeWInsEte3LzlNKppMb4IVPsQJDvdOJKAIzFROmWfPY1Yb40RwsktmBhho-eoXmel514EyOQkzpljeEDoxYf44rCF6-7r6vEx6jStVJqRj65AvnS8qLSF8GlMmbsu0hKFVyjXogzUUJM3Nf-hfa0lDIh63OarzGJSNIx8yLNvarq2p5s_HzuTNkEtHCC_mxx7PJ2qirLeHx1W1V3TCYWzYIDGXgXYWdZyHQGSXesGr0Mkq5o12cfOKddCSiI_mEa0JsoLniyEaQhUqmh9RlaYollVJeH8kUe1XrCEpE1BsXZ2VyXWfi-4GX3i-IX6womIAcG07hhNtEqcwvxThw_NTb6h6tv6wtLdrumOES3nVv78LYt3HdSO7QUjWoKR3XtSwsET-9wGCrYAaztaH9L_DyIzMGAIYYjow6g9IFgLkT9UbxqGTFV9bcS9T1hvbI5iHKC3kQUf-YwEBF-vycG73&sjdu=teYnAu8OgCGxABCwWD3OBGSvNPsXXaEnWLrUq8268_TXkMOibV4_mQ9u5rM4Go9X3MNrbRcBL1Y1CtxjScFBEn7g_DX8S5ca5hXEzlQewnTPPmFjoJTSD6uVY-qPeomUv7XeoJFVqPNSOh7LIWw-XQmSBuqlD3-oXFbOCji43ib1IzLJXPmt5WMamG_K9-NPgviDYCG66uFOAODeCayFH-mzV0GbscPQqcwl4GSgEqenr9d-_5ge1wFIoEo3v8-zg4_WY5sEXkx1VRylDi6Lyw&vjfrom=vjs&astse=40de3c838f72a173&assa=5911
"Python Software Engineering
- job post"	JPMorgan Chase Bank, N.A.	Houston, TX	python, c++, 	3 plus years of experience developing in a modern programming language, preferably python or c++advanced knowledge of application, data, and infrastructure architecture disciplinesunderstanding of architecture and design across all systems	https://www.indeed.com/applystart?jk=33c3e2b707dc4b52&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jehvkq6dn800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhmxVWeweCeZJmSWPJohKY5MIfcMu539kP3i1FMxIq2rA&vjfrom=vjs&astse=5d80438f029c91e2&assa=7079
"Web Design Apprentice
- job post"	Houston Astros, LLC	Houston, TX 77002	html, css, javascript, 	experiencepreferred1	https://www.indeed.com/applystart?jk=4093c9aab8c95077&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jehvkq6dn800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgN6zqY5FbKXvkiAawFMaOMXEqzEHpaMck04qufWYB5sg&vjfrom=vjs&astse=8e4fa5abad547322&assa=8241
"Software Engineering-1156595
- job post"	JPMorgan Chase Bank, N.A.	Houston, TX	python, sql, javascript, 	experience in designing infrastructure solutions for applications.strong programming skills in bash, python, perl, go, etc.strong working knowledge of modern development technologies and tools such agile, ci/cd, git, terraform and jenkins	https://www.indeed.com/applystart?jk=b175e0b79ac76c03&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jehvkq6dn800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXglppxqD8D_dLCb_svQ1dlGULY8luZ3vf8Ryj3D5QnPXg&vjfrom=vjs&astse=48944266785f024e&assa=9410
"Software Engineer II - Enterprise
- job post"	Indeed	Texas•Remote	python, c++, c#, 	we value diverse experiences, including those who have had prior contact with the criminal legal system. we are committed to providing individuals with criminal records, including formerly incarcerated individuals, a fair chance at employment.our policies and benefitsview indeed's applicant privacy and accessibility policies - https://www.indeed.com/legal/indeed-jobs	https://www.indeed.com/viewjob?jk=e97da6a05b1a5a5a
"Software Engineering and Programming Specialist
- job post"	Baylor College of Medicine	Houston, TX 77030	sql, html, javascript, c#, 	experience in windows and unix operating systems.ability to take given specifications and generate code for functional applications.capable of participating in software/hardware release and installation tasks.	https://www.indeed.com/applystart?jk=ad8af14ecf782209&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jehvkq6dn800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiL9oVdKKdFz2smwn63NraXnUUKYs5yKqp3Fg7KgmoxhA&vjfrom=vjs&astse=15694ed6de166d2f&assa=1753
"Software Engineer
- job post"	Baylor Miraca Genetics Laboratories, LLC	Houston, TX 77021		experience working in highly virtualized public and private cloud environments.recognize the importance of and be able to generate excellent documentation anddiagrams.	https://www.indeed.com/applystart?jk=11f0b65d6a55cdf8&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jehvkq6dn800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiBv0rKbkYAS3tl8aS9BT40l8EZNoFLzyHkpvcd7-Y9bg&vjfrom=vjs&astse=2b8714ae658d6ff9&assa=2908
"Remote Entry Level Software Engineer
- job post"	SkillStorm	Houston, TX•Remote		as a flexible technology workforce partner, we provide fully formed tech teams at any level of experience, skillsets, and clearance. stormers are deployed either at client’s sites or at our u.s.-based delivery centers.#li-dni	https://www.indeed.com/applystart?jk=a87e31d5e96d0855&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jehvkq6dn800&spon=1&adid=387604440&ad=-6NYlbfkN0Akpfp8SSZMfZN38QizqqtbOT4j-2RsCLW69coMAbJ8KWjMeMBR2gXm91AfzTdKjrRaeOcgnfNmGf4bEw1TydeMsF022n2bn7u3fIncCQydLTSXTBYwVkWK4FXGsNl5CoK2b1a_WCLoEVaCCliUptDZnNFWU6vdGPN5yNCmrhRCfyGpxIfw7JiUkZ-F-auZ9oZQXUiCN1ypdIz7PyecetVT1-TO4LuuxNDaUmjhClv2zEnAF2hw_VFcA0j2IHVXXGEUzJX6Gxw8H059_ET-kddUlwiWWBlKnifIisJt_2zcNwQ5A8xYbICuJFFzcba2MEEM1vKukELe0WVSMOkjqHKwj-VF3CZT78yksyv7dzfZUprhIAlW756cS0wJ_frbWmfNrqwtTXveekhVpo2hWiKFmTWNOIesWxCPNVwUXaDqdg8gWkhHvu7apLM4GhDHPaC06h81Bhlrafq277_VuREfH90vXrimH5n7NU6BTKSN-ouTTOE_Pm85hHZlVgL9o0RQzmBpKD-kFRR39ks2s-_dKGLGuU-cCeW9YaWQXk8qIEElw-8Ko0jk8uApqF-UC3I%3D&sjdu=0ZFwD5rbjMRcHz87Kzx_gzk9pp3BAJ36QUsssQcWgRhd1U7xPQe_BtzPndxL3m-KeFxD8ZXIrvU3dP6UdFicO8o3usV0ShOMUWDfGHMLxTN-nvVIMhTezsxIvkzkNNOhoGXyND7cHMAXrEv17BAC2A&vjfrom=vjs&astse=b8707425245e8cc0&assa=4080
"Part-Time IT Support Associate II
- job post"	Amazon Web Services, Inc.	Houston, TX		1+ years of experience in it help-desk call center or desk-side environments.job summary	https://www.indeed.com/applystart?jk=ba623c9cc2d28689&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jehvkq6dn800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhBv0oEsx_mJFN7Mjfhq7-PnUUKYs5yKqp3Fg7KgmoxhA&vjfrom=vjs&astse=489e63bdf80056e5&assa=6440
"Software Engineer (Early Career)
- job post"	Apple	Austin, TX	python, sql, 	education & experiencebachelors degree in cs, ce, ece, eecs, is, it, and other related fields of study.additional requirements	https://www.indeed.com/applystart?jk=640733f6866eab08&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jf89qq6cv800&spon=1&adid=376525686&ad=-6NYlbfkN0BvKrLyj5gPmtZO9T8euul8TCxuuKNOtzRJOomxnwSEodTz2Bc-sPZlADHp0xxmf8UKqaBQEvxdPHGBNmvB4c5FSGjv9NVU7_tLe8DBz-8HutwJd6fCDf-8xIv6wtaJFaxjkr_APvS2N9FLS6pDGlH2o02eY1yuMCb1jGS4lC86vpSkcYb-jtyL75j2GQIZx_F1cet1AOQUukaurQwL_wq9mE8PcXESqEPVfAjUqMztfkGIpL5ei-xpJyAwc7WWD1MdruLDEXIiOxnoQYLXFE7uN8uJrWIqNkPQ1_1NB73gsN_qRtONSSpqmxJtmAPHNcq9GmWy0Krur3wlypZv1DmAqAHtPPXrLMyg8ngy8BRYtcnDOa1EPplVuIMWQLU6hqUU8CqFSNMC33rpCz0vgsoGpaYgo9XgodAWRPxcepBi3PpcfKTuz0cpxilg5-YSljbPfMa-2mIgFhpwYlvfaTYRvM2TbumJRHIp-P9YAynMj8d0NbxC4HgA9DX2THar2_tyeJI-FZPeYgIma0EVvd18yKCYaffMNhZTBVrKsptJN20h2Qlhi6gskmrrO3MonIDrnmRVH-abYvff9z9n2qx-OOGXDWSBQH2CWFwYtC-u0fbaKm-GP10WYbIYRgCU_YTKgj9LZ5UdB2zlg9MAKj91j2XcI_qPDNE96Y_DcFccp49INsewXMKVIAC9jEBEiX7k5EEZwVOlZ9DMxAlIMW9LR4KIWWU4xOST0cLjZ763e0l7c7lYfGnj7YernQp8fguOzcIvZ-7XjbAyOhmLPeS2t2cGZBaAJjDZdmQlFbpuEp53qhTK82F95bvDeAGThlR1PK9q9xfLMfluqbitwOUXZJHVaUpVTGUK4ElSpxMTF9NjfaF9yPs30xHu8jWKd_PDklSKdyEght_sRjDnjmKD4aNnzQ_KrMDrNxL2qQmXPbVCV08mQdqy&sjdu=9nrDNPdV1DghkDNnC2WJlW1nrk21-asFvjSk9jx-s_NiLn27xmsGqJU5_8_900-0J3DNJ8utubLM6A5SigIFxUUbwpzycJKOkGyJ9hzn2LC4_6krO4ocTwvKmdDg-CFw8EgMthRMi7aRhx2k1WQLd1umagRuUfBa5n9qZBGg_BgSEFU03SCxAN5SDH8Ny1yc3Sa-fWzgAFUJgOronJeVQODhUbvPbwewx5KYix-CTVlubeYa905zc1nNcw66rmbHIURoQ_ICcEHuVVhs3tU4_mMReXFeI34gjCWEIDFAwfSnyVAftmpi6zVJNBzJT00Y2W7X0kxkAH5gkJeerVWSH6PL6Bp4Tv3sABHNZLuUf3nw-l3VUtiIchnLXlZvCgm8i65gRnVF1sqvh6okPZhStLX1AoRw9o9RwABikQL8msYZssNH_E4daOjCXdQqtUIarfvzYjvCbcQvH6LCzVqyQA&vjfrom=vjs&astse=882ccd9e71bd3c9b&assa=8430
"Software Engineer - Undergrad New College Grad - Multiple Locations - 2022
- job post"	Visa	Austin, TX	python, html, javascript, c++, c#, 	experience with write utilities / automation tools using selenium, java, rest, python, groovy, and morefamiliarity with software testing principlessolid understanding of software engineering concepts and methodologies	https://www.indeed.com/applystart?jk=757618b14d38027a&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jf89qq6cv800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgO9bccdskstp6XvAjW5DVC5Z_dA0xndw9ylAW4Hz2CAQ&vjfrom=vjs&astse=318fbe5d7088bdb4&assa=775
"Software Engineer Apprentice
- job post"	IBM	Austin, TX 73301	python, javascript, c++, c#, 	as a software engineer apprentice at ibm, you’ll work as part of a larger team of experienced developers and mentors in an interactive, collaborative environment. you’ll learn the fundamentals of development, software design, testing, and cloud computing, agile principles, ibm design thinking, devops and continuous delivery. you will also learn how to resolve ibm customer issues, debug customer problems and environments, and increase cloud service skills, and will build the skills to grow your career as a software developer. best of all, you are a contributing member of your team, putting forward ideas, taking on responsibilities and making choices about how you get the job done just like any other ibmer.the work location for this position is austin, tx. no relocation is available for this position.	https://www.indeed.com/applystart?jk=97fb51515628879f&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jf89qq6cv800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXin2It_XjL9W6OccqYpT7c9VAq81dAHm7GpE1MqdfeWCQ&vjfrom=vjs&astse=e5cd738ad10f2749&assa=1970
"Associate Test Analyst
- job post"	Blizzard Entertainment	Austin, TX 78717			https://www.indeed.com/applystart?jk=005355457016f667&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jf89qq6cv800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXh3q9JAzLAajiZNoK1rDAjjXEqzEHpaMck04qufWYB5sg&vjfrom=vjs&astse=4ddc20f2182946dc&assa=3098
"Software Engineer I
- job post"	HEB	Austin, TX 78702	python, sql, 	you have a related degree or comparable formal training, certification, or work experience (preferred)specific to software engineer	https://www.indeed.com/applystart?jk=c63f629594f2bfcd&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jf89qq6cv800&spon=0&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjcHayjMKPgc0d78U7xMqSIQPTx7ack05kPwIeOSvQquQ&vjfrom=vjs&astse=50471052ef54bf97&assa=5424
"Software Engineering Rotation Program - Summer 2022 Start
- job post"	Rapid7	Austin, TX 78759		gain real life experience on a software development team while advancing your programming skillsdeliver production code that directly adds value for our customersdevelop the necessary skills to become a professional software engineer using the latest technology	https://www.indeed.com/applystart?jk=e6acff3ba78af0fd&from=vj&pos=bottom&mvj=0&jobsearchTk=1g32jf89qq6cv800&spon=0&sjdu=GZIGfQ0O24Vhr42Z7jg8wgadkJqiop20-jBi70t77SgBOTSgIPKs4UQuwKa5iv0M7H3OOuGOUsscqxH2gWqGpU47UhKqyrIJpWbJBK1ng5dCqCsb6jBZ8kPJBBMlpUC13-pGv6BdaelM78-1jgLLCRSBA2-wpC61BQ5PTUDU1T8&vjfrom=vjs&astse=98eba0ad1779ef6a&assa=7753
